id,authors_0_author,authors_1_author,authors_2_author,authors_3_author,count,docna_0_docna,docty,lang,entityids_entityid,subtopic,docdt,keywd_0_keywd,majdocty,abstracts_cdata!,display_title,pdfurl,listing_relative_url,url_friendly_title,guid,url,document_id,pdf_page_numbers,new_url,authors_4_author,authors_5_author,authors_6_author,authors_7_author,authors_8_author,authors_9_author,authors_10_author,authors_11_author,authors_12_author,authors_13_author,authors_14_author,authors_15_author,isbn,subsc,theme,majtheme,geo_regions_0_geo_region,geo_regions_1_geo_region,geo_regions_2_geo_region,colti,keywd_1_keywd,geo_regions_3_geo_region,geo_regions_4_geo_region,ml_abstracts,geo_regions_5_geo_region,geo_regions_6_geo_region
32857476,"Kull,Daniel Werner","Riishojgaard,Lars Peter","Eyre,John","Varley,Robert Andrew",World,The Value of Surface-based Meteorological Observation Data,Working Paper,English,090224b088312517_1_0,"Adaptation to Climate Change,Hydrology,Social Risk Management,Hazard Risk Management,Disaster Management,Natural Disasters,Food Security",2021-01-01T00:00:00Z,united nations framework convention on climate change; weather forecast; European Bank for Reconstruction and Development; united states agency for international development; socioeconomic benefits; observational data; weather prediction; water use in agriculture; water supply system operation; benefits in fuel saving; reduction in fuel consumption; United Nations Environment Programme; impact of climate change; global climate observing system; global public good; numerical weather prediction; meteorological observation; early warning system; disaster risk management; climate services; providing universal access; industrial water use; snow and ice; data exchange; climate-related risks; quality and quantity; provision of service; severe weather warnings; global economic development; sustainable development goals; global environment facility; islamic development bank; costs of exclusion; drought early warning; national road network; portion of total; average retail price; electrical power generation; industrial water supply; industrial water consumption; fixed water supply; impact of weather; agricultural production loss; privileges and immunity; Water Resource Management; long term projection; danger to life; small island countries; Disaster Risk Reduction; Green Climate Fund; world food programme; meteorological service; global benefit; value chain; cost-benefit analysis; weather observations; forecast error; asset loss; satellite operator; surface pressure; international exchange; drifting buoy; climate analysis; road transportation; Public Goods; climate monitoring; meteorological data; climate forecast; global estimate; surface area; Learning and Innovation Credit; computer model; societal benefit; project duration; wholesale price; based systems; conservative assumption; hydrometeorological service; common good; geostationary satellites; recent years; construction delay,Publications & Research,"Weather forecasting generates significant societal benefits, which can be increased by improving accuracy and lead-time through better meteorological monitoring, modeling and computing. Forecasting relies on numerical weather prediction (NWP), which is significantly impacted by the availability of meteorological observations, with space-based observations being the most important. Surface-based observations also contribute substantially to NWP performance, but current availability in Antarctica, Africa, South America, the Pacific and parts of Asia is insufficient. More observations from these regions would improve global NWP and forecasting quality, particularly in the data-sparse regions themselves, but also over the rest of the globe. It is estimated that improvements in the coverage and exchange of surface-based observations to meet the World Meteorological Organization’s Global Basic Observing Network (GBON) specification can deliver additional global socioeconomic benefits of over five billion annually. This is a conservative estimate omitting non-financial benefits such as potential lives saved and improvements to well-being, so underestimates the full benefits, particularly for developing countries. Investing in improving surface-based observations in data sparse regions is also highly economically efficient, yielding a global benefit to cost ratio of over twenty-five. Assuming sufficient observational coverage, international data exchange is a very efficient multiplier of the value of observations. However, exchange is currently insufficient across all regions. In view of the growing climate- and weather-related challenges facing humanity and recognizing that climate services similarly rely on meteorological monitoring, surface-based observations should be treated as a critical public good, with public oversight and open exchange within the meteorological and climatological communities.",The Value of Surface-based Meteorological Observation Data,http://documents.worldbank.org/curated/en/192461614151036836/pdf/The-Value-of-Surface-based-Meteorological-Observation-Data.pdf,/research/2021/01/32857476/value-surface-based-meteorological-observation-data,http://documents.worldbank.org/curated/en/192461614151036836/The-Value-of-Surface-based-Meteorological-Observation-Data,192461614151036836,http://documents.worldbank.org/curated/en/192461614151036836/The-Value-of-Surface-based-Meteorological-Observation-Data,D32857476,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
23853781,"Burzykowska,Anna Kamila","Jewell,Henry Edward",,,World,Earth observation support to World Bank projects : progress report,Working Paper,English,000442464_20150122151538,"Adaptation to Climate Change,Hazard Risk Management,Water and Human Health,Hydrology,Social Risk Management,Water Supply and Sanitation Economics,Small Private Water Supply Providers,Town Water Supply and Sanitation,Natural Disasters,Disaster Management",2011-11-01T00:00:00Z,Environment and Natural Resources;climate change and disaster risk;supervision of bank;susceptibility to climate change;Irrigation and Drainage Canals;management of water resource;urban mapping;land subsidence;disaster risk management;early warning system;historical meteorological data;water quality parameter;access to information;investment in transportation;portfolio of investment;water resource planning;evolution over time;land cover change;water quality monitoring;land use pattern;impact of disaster;flood risk assessment;integrate water resource;awareness raising activity;disaster prevention strategy;Invitation for Tenders;ministries of environment;sea level rise;Oil & Gas;Natural Resource Management;Disaster Risk Reduction;water pumping station;ease of use;flood management system;ground water level;private sector operator;sea water intrusion;land use data;large water resource;high resolution;rice cultivation;information service;crop type;water bodies;satellite imagery;information products;global monitoring;building type;rice acreage;rural area;lake surface;risk analysis;historical mapping;drought events;small reservoir;optical data;Open Data;disaster preparedness;urban development;satellite data;development work;,Publications & Research,"Earth observation (EO) is increasingly used in development work and has become a valuable tool to help achieve the mission of the World Bank. EO-based services can be undertaken at varying spatial scales from local to global and they allow generating information in a non-intrusive, objective, and consistent manner around the world. The World Bank and the European space agency (ESA) have partnered for the purpose of mainstreaming the use of EO in the World Bank's lending operations, across all of the sustainable development networks sectors. ESA's directorate of earth observation programs, and the World Bank's finance, economics, and urban department have therefore launched eoworld. The aim of this initiative is to establish a stable connection between the specific information needs of the World Bank projects and the new developments in EO programs and services. In particular eoworld gives the World Bank the opportunity to benefit from ESA's 30 years of experience in collecting and distributing EO data to users around the world, and in developing innovative information services for various applications to be used by public organizations, national authorities, and private sector operators in their development projects. This progress report provides an overview of the World Bank - ESA collaboration to date, and an insight into the services contents.",Earth observation support to World Bank projects : progress report,http://documents.worldbank.org/curated/en/821111468124777529/pdf/937830WP0Box380orld0Progress0Report.pdf,/research/2011/11/23853781/earth-observation-support-world-bank-projects-progress-report,http://documents.worldbank.org/curated/en/821111468124777529/Earth-observation-support-to-World-Bank-projects-progress-report,821111468124777529,http://documents.worldbank.org/curated/en/821111468124777529/Earth-observation-support-to-World-Bank-projects-progress-report,D23853781,52,2011/11/23853781/earth-observation-support-world-bank-projects-progress-report,,,,,,,,,,,,,,,,,,,,,,,,,,
26217947,"Garcia Garcia,Luis E.","Rodriguez,Diego Juan","Wijnen,Marcus Marinus Petrus","Pakulski, Inge",World,Earth observation for water resources management : current use and future opportunities for the water sector,Publication,English,090224b084291df2_1_0,"Hydrology,Global Environment,Energy Demand,Energy and Mining,Energy and Environment,Adaptation to Climate Change,Water and Food Supply",2016-04-14T00:00:00Z,water;Analytical and Advisory Activities;conjunctive use of surface water;remote sensing;water resource;Water Resource Management;impact of climate change;earth observation;army corps of engineers;Foundation for Sustainable Development;product of water;snow and ice;water resource planning;water quality;demand for energy;world health organization;national water resource;global water resource;national science foundation;urban water use;role of water;improve water resource;land and water;basin water management;coefficient of variation;digital elevation model;lack of availability;global climate model;synthetic aperture radar;normalize difference vegetation;privileges and immunity;coastal water quality;integrate urban water;water quality monitoring;primary author;soil moisture;research scientist;land cover;Hydrology;vegetation dynamics;non-governmental organization;vegetation cover;snow cover;international expert;Water Policy;inland water;water problem;meteorological variables;aquatic ecosystem;,"Publications,Publications & Research","Water is a key driver of economic and social development as well as of poverty reduction. Growing economies and populations need more water resources to sustain economic activity and provide greater access to drinking water and improved sanitation, generate renewable energy, or increase sustainable food production. While the World Bank has maintained its mission of reducing global poverty through economic development, the nature of the work it undertakes to fulfill that mission has changed over the decades of its existence. The scope of the problems that the Bank has to grapple with has expanded significantly, particularly in the realm of sustainable development, and today includes challenges related to climate change, resource depletion, natural disasters, and urbanization. These challenges require the collection and processing of data of much larger orders of magnitude than the poverty challenge alone requires. Under these circumstances, the Bank has started tapping into remote sensing techniques as a means of acquiring the extensive data needed to advance its goals.",Earth observation for water resources management : current use and future opportunities for the water sector,http://documents.worldbank.org/curated/en/783571468196447976/pdf/104778-PUB-Box394885B-PUBLIC-pubdate-4-14-16.pdf,/research/2016/04/26217947/earth-observation-water-resources-management-current-use-future-opportunities-water-sector,http://documents.worldbank.org/curated/en/783571468196447976/Earth-observation-for-water-resources-management-current-use-and-future-opportunities-for-the-water-sector,783571468196447976,http://documents.worldbank.org/curated/en/783571468196447976/Earth-observation-for-water-resources-management-current-use-and-future-opportunities-for-the-water-sector,D26217947,267,2016/04/26217947/earth-observation-water-resources-management-current-use-future-opportunities-water-sector,"Serrat Capdevila,Aleix","Garcia Ramirez,Danielle Alejandra","Tayebi,Nooshafarin","Guerschman, Juan P.","Donohue, Randall J.","Niel, Tom G. Van","Renzullo, Luigi J.","Dekker, Arnold G.","Malthus, Tim J.","McVicar, Tim R.","Dijk, Albert I. J. M. Van","Demaria,Eleonora Maria Concepcion","978-1-4648-0475-5,978-1-4648-0476-2",,,,,,,,,,,,,
33906787,"Grimes,Ronald David","Rogers,David","Schumann,Andreas H.","Day,Brian Francis",World,Charting a Course for Sustainable Hydrological and Meteorological Observation Networks in Developing Countries,Report,English,33906787,,2022-10-01T00:00:00Z,,Publications & Research,"Over the past 20 years, developing countries have invested in upgrading hydrological and meteorological networks, often with the assistance of development partners. In most of these projects, the share of the investment in the modernization of networks has been between 40 and 50 percent of the total project costs. The objectives of these initiatives have been to create reliable analyses, numerical predictions, and forecasts to inform early action, response, and planning across the whole of society. In some countries, monitoring networks have been sustained and improved over the decades. But in others, maintaining them operationally has remained elusive, resulting not only in inoperable or poorly maintained observational infrastructure and systems but also in a failure to realize the intended benefits. Why did some succeed where others did not That is a question that this report tries to answer by exploring the underpinnings of the successes and the possibilities of replicating these successes elsewhere, and thereby contribute to the body of knowledge on observation networks. This report aims to facilitate the development of more strategic and viable roadmaps for investments in weather and climate observation networks where those investments are likely to be substantial in the coming decades, as countries improve resilience to natural hazards and economies transform in response to climate change challenge.",Charting a Course for Sustainable Hydrological and Meteorological Observation Networks in Developing Countries,http://documents.worldbank.org/curated/en/099130009262226463/pdf/P17694509a843d057086ef08bfc8d7d464d.pdf,/research/2022/10/33906787/charting-course-sustainable-hydrological-meteorological-observation-networks-developing-countries,http://documents.worldbank.org/curated/en/099130009262226463/P17694509a843d057086ef08bfc8d7d464d,099130009262226463,http://documents.worldbank.org/curated/en/099130009262226463/P17694509a843d057086ef08bfc8d7d464d,D33906787,315,2022/10/33906787/P17694509a843d057086ef08bfc8d7d464d,,,,,,,,,,,,,,Other Public Administration,,,,,,,,,,,,
19605605,,,,,Mozambique,Mozambique - Climate Resilience : Transforming Hydro-Meteorological Services Project : procurement plan,Procurement Plan,English,000470435_20140603075704,"Climate Change Impacts,Climate Change and Agriculture,Telecommunications Infrastructure,Information Technology,Climate and Meteorology,Natural Disasters",2014-05-15T00:00:00Z,selection method;civil works;procurement method;software upgrade;consultancy assignment;observation network;climate resilience;single source;ibrd loans;procurement manual;procurement arrangement;monitoring network;computer equipment;virus protection;,Project Documents,,Mozambique - Climate Resilience : Transforming Hydro-Meteorological Services Project : procurement plan,http://documents.worldbank.org/curated/en/168301468058500658/pdf/884440PROP0P130Box385237B00PUBLIC0.pdf,/projects/documents/2014/05/19605605/mozambique-climate-resilience-transforming-hydro-meteorological-services-project-procurement-plan,http://documents.worldbank.org/curated/en/168301468058500658/Mozambique-Climate-Resilience-Transforming-Hydro-Meteorological-Services-Project-procurement-plan,168301468058500658,http://documents.worldbank.org/curated/en/168301468058500658/Mozambique-Climate-Resilience-Transforming-Hydro-Meteorological-Services-Project-procurement-plan,D19605605,5,2014/05/19605605/mozambique-climate-resilience-transforming-hydro-meteorological-services-project-procurement-plan,,,,,,,,,,,,,,"Public administration - Water, sanitation and flood protection","Natural disaster management,e-Government","Social protection and risk management,Public sector governance",World,Sub-Saharan Africa,Southern Africa,,,,,,,
34105975,"Fleming,Gerald J",,,,Bhutan,"Bhutan - Technical Guidance Note for Establishment of National Centre for Hydrology and Meteorology Head Quarter, National Weather, and Flood Warning Centre and Scientific Facilities",Report,English,34105975,,2023-06-29T00:00:00Z,,Publications & Research,"The National Centre for Hydrology and Meteorology (NCHM) plans to develop a new campus on a “green field” site to act as the headquarters and principal operations centre with technical and financial assistance from the World Bank. The NCHM is mandated to observe and understand the behaviour of the atmosphere over Bhutan, its interaction with the cryosphere and water bodies, the weather and climate of the country, and the distribution of the country’s water resources. The Centre is identified as the nodal agency responsible for generation of information and delivery of products and services on weather, climate, cryosphere, and water resources in Bhutan. It was formed as an autonomous scientific and technical agency in 2016, having previously been a part of the Ministry of Economic Affairs. The establishment of the NCHM has brought together into a single organisation the study of all aspects of meteorology, climatology, hydrology, and cryosphere (glaciology and related science) in Bhutan, as well as aviation meteorology. In December 2019, the National Disaster Management Authority chaired by the Prime Minister designated the NCHM as the National Hydromet Hazard Early Warning Service Provider, pursuant to the Disaster Management Act 2013 to ensure clear and systematic early warning and notification to vulnerable populations and government agencies of threatening hydrometeorological hazards, disaster situations or events in the country. NCHM does not have access to spaces designed for 24/7 operational work. In order that its capacities may be fully used to the benefit of the citizens of Bhutan and serve as a regional Centre of Excellence on mountain meteorology, it needs to have facilities for education and outreach so that users can learn how best to take advantage of advanced forecast and warning information.","Bhutan - Technical Guidance Note for Establishment of National Centre for Hydrology and Meteorology Head Quarter, National Weather, and Flood Warning Centre and Scientific Facilities",http://documents.worldbank.org/curated/en/099731006292342997/pdf/IDU01074274002894045940a3b404e5f81373970.pdf,/research/2023/06/34105975/bhutan-technical-guidance-note-establishment-national-centre-hydrology-meteorology-head-quarter-national-weather-flood-warning-centre-scientific-facilities,http://documents.worldbank.org/curated/en/099731006292342997/IDU01074274002894045940a3b404e5f81373970,099731006292342997,http://documents.worldbank.org/curated/en/099731006292342997/IDU01074274002894045940a3b404e5f81373970,D34105975,46,2023/06/34105975/IDU01074274002894045940a3b404e5f81373970,,,,,,,,,,,,,,,,,,,,,,,,,,
16248503,,,,,Mexico,Mexico - Modernizing the National Meteorological Service to Address Variability and Climate Change in the Water Sector in Mexico (MOMET) Project,,English,000350881_20120430093034,"Adaptation to Climate Change,Science of Climate Change,Climate Change and Health,Climate Change and Environment,Hydrology,Food Security,Natural Disasters",2012-04-18T00:00:00Z,Spanish Fund for Latin America;observation network;infrastructure needs;disaster risk management;climate information;impact of climate change;climate change adaptation;early warning system;weather forecast;climate services;automatic station;water sector;management of irrigation system;real gross domestic product;agriculture and livestock;threat of climate change;effect of climate change;impact of climate variability;numerical weather prediction;data processing system;scarce water resource;regional climate projections;development of information;data collection system;allocation of water;climate change scenario;global climate model;meteorological information;meteorological data;hydrological forecast;adaptation to climate;climate change impact;agricultural decision making;Supply of Water;national water development;variability in rainfall;development of technology;climate change strategy;water allocation policy;construction and operation;water supply need;review of water;federal expenditure budget;Water Resource Management;severe weather warnings;irrigation water;agriculture and forestry;demand of good;water sector reform;negative social impacts;global climate change;allocation of resource;internal control;means access;irrigation and drainage;physical cultural resources;safety of dam;Resettlement Policy Framework;improvements in access;Development Policy Lending;risk management strategy;impact of weather;climate change issue;international training center;carbon offset;financial management activities;persistent organic pollutant;federal electricity commission;catastrophe risk management;Exchange Rates;access to information;river stream flow;assessment of need;national weather service;natural disaster management;operational rules;flash flood;regional capacity;Advisory services;telecommunications system;Water Management;upper atmosphere;climate forecast;focus group;information products;human settlement;meteorological service;baseline projection;meteorological events;investment lending;hydrological condition;reservoir operation;warning service;coastal wetland;monitoring network;weather condition;professional skill;extreme event;Management Systems;weather information;economic sector;weather radar;satellite image;environmental sustainability;field survey;atmospheric science;hydrometeorological service;online training;basin level;restructuring plan;internal process;water availability;meteorological phenomenon;extreme weather;result indicator;Population Growth;tropical storm;infrastructure capacity;natural hazard;private consumption;facilitation activity;monetary policy;drought management;global recovery;water quality;quantitative assessment;regional disparity;groundwater resource;international commitment;resources management;equitable water;water crisis;flood zone;alert system;flood mapping;meteorological characteristics;human need;River basin;land development;information service;Hydroelectric Power;hydrological cycle;adaptation strategy;productive sector;environmental integrity;hydrological model;priority region;evaluation system;administrative expense;specialized equipment;remote sensing;long-term forecast;mexican peso;river flow;media coverage;weather simulation;circulation model;scientific institution;academic institution;financial statement;meteorological organization;quality improvement;corporate communication;hydrological information;degree program;business strategy;parallel processor;technological innovation;hydrological process;regional forecast;local agency;real gdp;Business Continuity;university degree;meteorological stations;calibration equipment;weather station;system design;atmospheric research;public expenditure;surface weather;seismic regions;solar radiation;lightning detection;volcanic activity;hazard risk;Impact assessments;data management;export data;coastal area;runoff pattern;Bank Policies;populous country;geographic distribution;international waterway;atmospheric phenomena;legal opinion;results framework,,"The objective of the Modernizing the National Meteorological Service to Address Variability and Climate Change in the Water Sector in Mexico (MOMET) Project for Mexico is to strengthen the human resources, institutional, and infrastructure capacity of the National Meteorological Service (SMN) to meet the increasing demand for timely and accurate weather and climate information for the purposes of water resources and disaster risk management in the face of climate change and climate variability. The project has four components. (1) Strengthening institutional capacity and client communications aims to strengthen the institutional capacity of SMN through institutional redesign, human resource recruitment and training, and improved communications with clients. (2) Modernizing observation infrastructure will support the redesign of SMN's observation networks, the installation of modernized infrastructure, and the procurement and use of updated data processing technologies. (3) Improving meteorological forecasts will finance the development and upgrading of SMNs data assimilation systems and professional capacity in the use of the latest meteorological and climate modeling and forecasting tools. (4) Development of climate regional capacity will support the strengthening of regional capacity to maintain the surrounding observation networks and carry out specialized monitoring and forecasting functions responding to the particular hydrometeorological characteristics and needs of their respective regions and basin organizations.",Mexico - Modernizing the National Meteorological Service to Address Variability and Climate Change in the Water Sector in Mexico (MOMET) Project,http://documents.worldbank.org/curated/en/262161468045081923/pdf/679710PAD0P12600Offcial0Use0Only090.pdf,/projects/documents/2012/04/16248503/mexico-modernizing-national-meteorological-service-address-variability-climate-change-water-sector-mexico-momet-project,http://documents.worldbank.org/curated/en/262161468045081923/Mexico-Modernizing-the-National-Meteorological-Service-to-Address-Variability-and-Climate-Change-in-the-Water-Sector-in-Mexico-MOMET-Project,262161468045081923,http://documents.worldbank.org/curated/en/262161468045081923/Mexico-Modernizing-the-National-Meteorological-Service-to-Address-Variability-and-Climate-Change-in-the-Water-Sector-in-Mexico-MOMET-Project,D16248503,87,2012/04/16248503/Mexico-Modernizing-the-National-Meteorological-Service-to-Address-Variability-and-Climate-Change-in-the-Water-Sector-in-Mexico-MOMET-Project,,,,,,,,,,,,,,"Irrigation and Drainage,Flood protection,General finance sector",,,World,North America,Latin America & Caribbean,,,,,,,
27227345,,,,,"Congo, Democratic Republic of","Congo, Democratic Republic of - Strengthening Hydro-Meteorological and Climate Services Project",Project Appraisal Document,English,090224b08498e648_1_0,"Climate Change Impacts,Airports and Air Services,Food Security,Transport Services,Natural Disasters",2017-02-16T00:00:00Z,Quality and Cost Based Selection;impact of climate change on agriculture;parallel financing;negative impacts of climate change;information and communication technology;Present Value of Benefits;Grievance Redress Service;impact of climate variability;monitoring and evaluation system;legal and regulatory framework;net present value;delivery of service;loss of life;disaster risk management;early warning system;number of women;lack of investment;maintenance and repair;capacity for implementation;hydromet services;financial management specialist;long-term climate change;access to internet;Disaster Risk Reduction;climate change adaptation;minister in charge;implementation of operations;extreme weather event;long-term capacity building;number of beneficiaries;hydroelectric power plant;sustainable development strategy;automatic weather stations;uninterruptible power supply;project preparation grant;vulnerability of farmers;economies of scale;high frequency radio;social and environmental;climate sensitive sectors;opportunity for woman;people lack access;decision support system;extreme poverty line;costs for operation;participation of woman;decision support tool;capacity building need;independent legal entity;development of infrastructure;cassava mosaic virus;source of revenue;access to information;Exchange Rates;climate business plan;long term planning;sectoral environmental assessment;availability of fund;urban poverty reduction;hydrological data collection;import of goods;,Project Documents,"The development objective of the Strengthening Hydro-Meteorological and Climate Services Project for Democratic Republic of Congo (DRC) of is to improve the quality of the Government of the DRC’s targeted hydro-meteorological and climate services. The project comprises of four components. The first component will invest in strengthening institutional setup and building capacity of human resources. The second component, modernization of equipment, facilities, and infrastructure for basic observation and forecasting will finance: (i) hydrological and meteorological monitoring networks (small-scale rehabilitation of priority stations and installation of new sensors, for about 20 meteorological and six hydrological stations); (ii) transmission, data management, and data dissemination hardware (equipment needed for data concentration from the field to Kinshasa, management of secured databases interoperable with producers, and users of hydromet information, etc.); (iii) refurbishment of facilities needed to support the services (in Kinshasa and up to two provincial offices); and (iv) technical systems and software for performing meteorological, hydrological and climate forecasting, products, and services. The third component, improvement of hydromet information service delivery will provide technical assistance for delivery of more accurate, timely, and user-friendly products and services to users and decision-makers. The fourth component, project management will finance the following activities: (i) incremental operating costs; (ii) technical design of sub-projects; (iii) procurement, financial management, safeguards, monitoring and evaluation, quality control, and contract management; and (iv) audit, studies, and assessments required under various project components.","Congo, Democratic Republic of - Strengthening Hydro-Meteorological and Climate Services Project",http://documents.worldbank.org/curated/en/289901488209393335/pdf/DRC-GEF-PAD-02222017.pdf,/projects/documents/2017/02/27227345/congo-democratic-republic-strengthening-hydro-meteorological-climate-services-project,http://documents.worldbank.org/curated/en/289901488209393335/Congo-Democratic-Republic-of-Strengthening-Hydro-Meteorological-and-Climate-Services-Project,289901488209393335,http://documents.worldbank.org/curated/en/289901488209393335/Congo-Democratic-Republic-of-Strengthening-Hydro-Meteorological-and-Climate-Services-Project,D27227345,117,2017/02/27227345/congo-democratic-republic-strengthening-hydro-meteorological-climate-services-project,,,,,,,,,,,,,,"Information technology,Public administration - Transportation,Other Agriculture, Fishing and Forestry,Flood protection","Water resource management,Rural services and infrastructure,Natural disaster management,Climate change","Environment and natural resource management,Rural development,Social protection and risk management",World,Sub-Saharan Africa,Central Africa,,,,,,,
30573364,"Bernardo Mendes De Almeida,Luis",,,,Mozambique,Mozambique - AFRICA- P131049- Climate Resilience: Transforming Hydro-Meteorological Services - Procurement Plan,Procurement Plan,English,090224b08654b7b6_1_0,"Climate Change Impacts,Climate Change and Agriculture,Natural Disasters,Hydrology,Climate and Meteorology,Water and Food Supply",2018-11-01T00:00:00Z,monitoring network; evaluation activity; new equipment; contract completion; credit market; applicable procurement method; Revised Plan Date; network service; civil works; selection method; climate resilience; single source; consultancy assignment; observation station; technical proposal; water quality; ibrd loans; procurement manual; procurement arrangement; project effectiveness; retroactive financing; advance procurement,"Project Documents,Project Documents",,Mozambique - AFRICA- P131049- Climate Resilience: Transforming Hydro-Meteorological Services - Procurement Plan,http://documents.worldbank.org/curated/en/778971541093260054/pdf/Mozambique-AFRICA-P131049-Climate-Resilience-Transforming-Hydro-Meteorological-Services-Procurement-Plan.pdf,/projects/documents/2018/11/30573364/mozambique-africa--p131049--climate-resilience-transforming-hydro-meteorological-services-procurement-plan,http://documents.worldbank.org/curated/en/778971541093260054/Mozambique-AFRICA-P131049-Climate-Resilience-Transforming-Hydro-Meteorological-Services-Procurement-Plan,778971541093260054,http://documents.worldbank.org/curated/en/778971541093260054/Mozambique-AFRICA-P131049-Climate-Resilience-Transforming-Hydro-Meteorological-Services-Procurement-Plan,D30573364,8,2018/11/30573364/,,,,,,,,,,,,,,,,,,,,,,,,,,
31071924,"Eghoff,Christian Vang",,,,"Congo, Democratic Republic of",Disclosable Version of the ISR - Strengthening Hydro-Meteorological and Climate Services - P159217 - Sequence No : 04,Implementation Status and Results Report,English,090224b086c97286_1_0,"Climate Change Impacts,Natural Disasters,Transport Services,Airports and Air Services",2019-05-14T00:00:00Z,Democratic Republic of Congo; international civil aviation organization; number of stations; operational quality; Investment Project Financing; quality management system; information service; climate services; Hydromet; aviation meteorology; project grant; composite index; observation station; global environment,"Project Documents,Project Documents",,Disclosable Version of the ISR - Strengthening Hydro-Meteorological and Climate Services - P159217 - Sequence No : 04,http://documents.worldbank.org/curated/en/514911557859748498/pdf/Disclosable-Version-of-the-ISR-Strengthening-Hydro-Meteorological-and-Climate-Services-P159217-Sequence-No-04.pdf,/projects/documents/2019/05/31071924/disclosable-version-isr-strengthening-hydro-meteorological-climate-services-p159217-sequence-no-04,http://documents.worldbank.org/curated/en/514911557859748498/Disclosable-Version-of-the-ISR-Strengthening-Hydro-Meteorological-and-Climate-Services-P159217-Sequence-No-04,514911557859748498,http://documents.worldbank.org/curated/en/514911557859748498/Disclosable-Version-of-the-ISR-Strengthening-Hydro-Meteorological-and-Climate-Services-P159217-Sequence-No-04,D31071924,5,2019/05/31071924/disclosable-version-isr-strengthening-hydro-meteorological-climate-services-p159217-sequence-no-04,,,,,,,,,,,,,,,,,,,,,,,,,,
